abandon,vt. 丢弃；放弃，抛弃,He had to abandon his plan.
abnormal,a. 不正常的；变态的,The results of the test were abnormal.
abolish,vt. 废除，取消,The tax was abolished last year.
abstain,vi. 戒；避开；放弃,He decided to abstain from alcohol.
abstract,a. 抽象的 n. 摘要,It's a very abstract concept.
abundance,n. 丰富，充裕,There is an abundance of food.
abuse,vt. 滥用；虐待 n. 滥用,Drug abuse is a serious problem.
accelerate,vt. (使)加快；促进,The car began to accelerate.
accessory,n. 同谋，从犯；附件,She bought some accessories for her dress.
accommodate,vt. 容纳；供应，供给,The hotel can accommodate 500 guests.
accordance,n. 一致；和谐；授予,In accordance with the rules.
accordingly,ad. 因此，所以；照着,Please inform us accordingly.
accumulate,vt. 积累 vi. 堆积,Dust began to accumulate on the table.
accurately,ad. 准确地,He measured the room accurately.
accuse,vt. 指责；归咎于,They accused him of cheating.
accustomed,a. 惯常的；习惯的,He is accustomed to hard work.
acknowledge,vt. 承认；告知收到,Please acknowledge receipt of this letter.
acquire,vt. 占有；取得；获得,She acquired a new skill.
activate,vt. 激活；使活动,The alarm was activated.
acute,a. 尖锐的；敏锐的,He has an acute sense of smell.
adapt,vt. 使适应；改编,Animals must adapt to their environment.
adhere,vi. 粘附；遵守，坚持,The paint will adhere to the wall.
adjacent,a. 毗连的；紧接着的,The school is adjacent to the park.
adjoin,vt. 贴近，毗连；靠近,Our house adjoins the library.
adjustable,a. 可调整的，可校准的,The height of the seat is adjustable.
administer,vt. 管理；执行,She administers the company's finances.
adolescent,n. 青少年 a. 青春期的,Adolescent behavior can be complex.
adopt,vt. 收养；采用；批准,They decided to adopt a child.
advent,n. 来临，出现,The advent of the internet changed everything.
adverse,a. 不利的的；有害的,Adverse weather conditions.
advocate,n. 拥护者 vt. 提倡,He is an advocate for human rights.
aesthetic,a. 美学的；审美的,The building has aesthetic appeal.
affiliate,vt. 附属，合并 n. 分部,The college is affiliated with the university.
affirm,vt. 断言，批准；证实,He affirmed his commitment.
afflict,vt. 使痛苦，折磨,He was afflicted with a rare disease.
agenda,n. 议事日程,What's on the agenda for today?
aggravate,vt. 加重；激怒,His comments only aggravated the situation.
aggregate,n. 总数 a. 总计的,The aggregate score was 4-2.
agile,a. 敏捷的，轻快的,The monkey is very agile.
agony,n. 极度痛苦,He was in agony after the fall.
agreeable,a. 怡人的；同意的,We spent an agreeable evening together.
alien,a. 外国的 n. 外国人,An alien culture.
allege,vt. 宣称，申述,They allege that he stole the money.
alleviate,vt. 减轻，缓解,The medicine helped alleviate the pain.
alliance,n. 联盟，联合,The two countries formed an alliance.
allocate,vt. 分配，分派,Funds were allocated for the project.
allowance,n. 津贴，补助费,He gets a monthly allowance.
alloy,n. 合金；(金属的)成色,Brass is an alloy of copper and zinc.
ally,n. 盟国，同盟者,The US is a key ally.
alter,vt. 改变，变更；改做,She had to alter her plans.
